density,burnt
64,0.865513054
64,0.911584432
64,0.885465914
65,0.929409994
65,0.939243924
65,0.933162342
65,0.956359845
65,0.92551745
65,0.888256994
65,0.933021572
65,0.900590104
65,0.904321456
65,0.901925117
66,0.93684682
66,0.86455246
66,0.948941838
66,0.939156181
66,0.939380399
66,0.936884512
66,0.947518797
66,0.955345261
66,0.949208742
66,0.943232746
67,0.95156779
67,0.945219562
67,0.958553017
67,0.95532596
67,0.964802103
67,0.964332508
67,0.964353543
67,0.963179427
67,0.955140462
67,0.950836513
68,0.961093434
68,0.959095492
68,0.97280486
68,0.968283582
68,0.968377174
68,0.95918958
68,0.96866426
68,0.963257631
68,0.972430716
68,0.969464544
69,0.973146693
69,0.973376993
69,0.972521246
69,0.969217614
69,0.969145457
69,0.958582408
69,0.980875478
69,0.973586522
69,0.963745361
69,0.964010283
70,0.979949523
70,0.985107864
70,0.980486425
70,0.969934275
70,0.97508005
70,0.977250386
70,0.979861111
70,0.970840964
70,0.969892172
70,0.971121652
71,0.984039626
71,0.969164823
71,0.98015709
71,0.978738092
71,0.978726343
71,0.98427673
71,0.984731774
71,0.976259489
71,0.973385628
71,0.968227656
72,0.986963607
72,0.987704918
72,0.984709066
72,0.987925357
72,0.981456044
72,0.982730263
72,0.962866894
72,0.984349483
72,0.983454123
72,0.982082259
73,0.984617461
73,0.989093847
73,0.979501011
73,0.986137281
73,0.988777718
73,0.991297362
73,0.988103195
73,0.989082087
73,0.978138412
73,0.989107047
74,0.989353312
74,0.988048332
74,0.994307652
74,0.987911796
74,0.990459785
74,0.991726855
74,0.989559931
74,0.992915245
74,0.989661039
74,0.99081225
75,0.990754004
75,0.990981571
75,0.993155193
75,0.992170168
75,0.991078457
75,0.993824727
75,0.994121489
75,0.992239038
75,0.990030573
75,0.992164033
76,0.996389426
76,0.994211474
76,0.995103724
76,0.992663148
76,0.993576567
76,0.991807542
76,0.992872878
76,0.993122771
76,0.994298302
76,0.991717635
77,0.994544532
77,0.996974663
77,0.994248466
77,0.994243316
77,0.996193859
77,0.9947294
77,0.995543672
77,0.994633959
77,0.993231162
77,0.995580808
78,0.993844994
78,0.995732932
78,0.996605908
78,0.997366111
78,0.997227823
78,0.996600353
78,0.996122577
78,0.997089344
78,0.997137167
78,0.99447375
79,0.994903667
79,0.994680851
79,0.997014554
79,0.996884735
79,0.996157184
79,0.995921394
79,0.996006988
79,0.996644712
79,0.996370917
79,0.998386897
80,0.997667281
80,0.997922268
80,0.996801968
80,0.997294971
80,0.997936893
80,0.9984156
80,0.996672008
80,0.99705413
80,0.994721336
80,0.997172363
81,0.997792494
81,0.997712497
81,0.997598751
81,0.998054475
81,0.998172737
81,0.997194095
